               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,              0.0445,            0.070581,           0.0064229,             0.92246,             0.90345,             0.93674,             0.43874,            0.045094,            0.066154,           0.0061106,           0.0081784,           0.0081784,           0.0081784
                  94,            0.043017,            0.069451,           0.0061279,             0.92795,             0.92155,             0.94714,             0.46838,            0.043333,            0.065733,           0.0055909,           0.0081586,           0.0081586,           0.0081586
                  95,            0.042789,            0.066505,           0.0064367,             0.89025,             0.87839,             0.89711,             0.38036,            0.050268,            0.068808,           0.0058584,           0.0081388,           0.0081388,           0.0081388
                  96,            0.043777,            0.070568,           0.0063328,             0.92511,             0.92604,             0.95029,             0.47605,            0.042358,            0.066175,           0.0059365,            0.008119,            0.008119,            0.008119
                  97,            0.042946,            0.067076,           0.0063402,             0.92097,             0.89135,             0.92368,             0.40319,            0.047087,            0.067871,           0.0059689,           0.0080992,           0.0080992,           0.0080992
                  98,            0.043047,            0.069489,           0.0061866,             0.93447,             0.90897,             0.94528,             0.49209,            0.040746,            0.066682,           0.0057547,           0.0080794,           0.0080794,           0.0080794
                  99,            0.045384,            0.064481,           0.0056354,             0.91314,             0.89511,             0.92107,             0.38612,            0.049617,            0.068917,           0.0059376,           0.0080596,           0.0080596,           0.0080596
                 100,            0.042037,            0.064791,           0.0056452,              0.9296,             0.92058,             0.94838,             0.47861,             0.04165,             0.06653,           0.0054212,           0.0080398,           0.0080398,           0.0080398
                 101,            0.043984,            0.064245,           0.0059493,             0.90462,             0.88178,             0.91254,             0.37378,            0.049963,            0.068609,           0.0059936,             0.00802,             0.00802,             0.00802
                 102,            0.043836,            0.066982,           0.0060476,             0.92429,             0.90148,             0.93957,             0.47689,            0.041167,            0.065674,           0.0069978,           0.0080002,           0.0080002,           0.0080002
                 103,            0.041569,            0.064504,           0.0058131,             0.92971,             0.90143,             0.92922,             0.42146,            0.046031,            0.067711,           0.0058996,           0.0079804,           0.0079804,           0.0079804
                 104,            0.041925,            0.061686,           0.0066285,              0.9382,             0.93237,             0.95324,             0.49441,            0.040071,            0.065977,           0.0054233,           0.0079606,           0.0079606,           0.0079606
                 105,            0.041387,            0.065694,           0.0058364,             0.91117,             0.89095,             0.91835,             0.42041,            0.046469,            0.068583,           0.0057285,           0.0079408,           0.0079408,           0.0079408
                 106,            0.042563,            0.070181,           0.0062785,             0.92853,             0.91784,             0.95025,             0.49309,            0.041886,            0.066692,           0.0063058,            0.007921,            0.007921,            0.007921
                 107,            0.042197,            0.070042,           0.0062679,             0.91756,             0.91044,             0.92922,             0.44928,             0.04374,            0.067966,           0.0057738,           0.0079012,           0.0079012,           0.0079012
                 108,            0.040189,            0.066748,           0.0057819,             0.94379,             0.92764,              0.9485,             0.48176,             0.04138,            0.066702,           0.0051216,           0.0078814,           0.0078814,           0.0078814
                 109,            0.042601,            0.067025,           0.0060709,             0.91903,             0.91264,             0.92656,             0.40731,            0.045862,            0.068239,           0.0052343,           0.0078616,           0.0078616,           0.0078616
                 110,            0.042398,            0.064503,            0.006135,             0.94057,             0.93206,             0.94968,             0.47817,            0.041004,            0.067306,           0.0052244,           0.0078418,           0.0078418,           0.0078418
                 111,            0.043112,            0.067969,           0.0060111,             0.92281,             0.90752,             0.93474,             0.40896,             0.04764,            0.068946,           0.0053972,            0.007822,            0.007822,            0.007822
                 112,            0.043902,            0.067571,           0.0059376,             0.95219,             0.92406,              0.9558,             0.49012,            0.040998,            0.066768,           0.0052968,           0.0078022,           0.0078022,           0.0078022
                 113,            0.041373,            0.067952,           0.0055651,              0.9127,             0.89094,             0.91184,             0.39998,            0.049682,             0.06987,           0.0057128,           0.0077824,           0.0077824,           0.0077824
                 114,            0.040484,            0.064292,           0.0049784,              0.9355,             0.92507,             0.94593,             0.48226,            0.041581,            0.067393,           0.0054549,           0.0077626,           0.0077626,           0.0077626
                 115,            0.041703,            0.067412,            0.005973,             0.89638,             0.88454,             0.89604,             0.36935,            0.053256,            0.071843,           0.0058753,           0.0077428,           0.0077428,           0.0077428
                 116,            0.044554,            0.064276,           0.0056058,             0.92781,             0.92127,               0.942,             0.48698,            0.041393,            0.066936,           0.0055737,            0.007723,            0.007723,            0.007723
                 117,             0.04281,            0.066122,           0.0058287,             0.91921,             0.88762,             0.91145,             0.41036,            0.047659,            0.069341,           0.0053024,           0.0077032,           0.0077032,           0.0077032
                 118,             0.04089,            0.065376,           0.0059442,             0.94589,             0.91227,             0.94448,             0.48716,            0.041047,            0.066532,           0.0059151,           0.0076834,           0.0076834,           0.0076834
                 119,            0.041169,            0.064419,           0.0056263,             0.90866,             0.90214,             0.92302,             0.41254,             0.04634,            0.068164,           0.0058793,           0.0076636,           0.0076636,           0.0076636
                 120,            0.040458,            0.068497,           0.0054952,             0.92572,             0.91003,             0.93304,             0.43523,            0.047362,            0.068752,           0.0050131,           0.0076438,           0.0076438,           0.0076438
                 121,             0.04102,            0.062102,           0.0053323,             0.93085,             0.92574,             0.94331,             0.47336,            0.042735,            0.066982,           0.0049717,            0.007624,            0.007624,            0.007624
                 122,             0.03993,            0.070499,             0.00526,             0.92334,             0.92929,             0.94011,             0.46858,            0.043023,            0.067524,           0.0051529,           0.0076042,           0.0076042,           0.0076042
                 123,            0.040261,            0.064672,           0.0052082,             0.93611,             0.92435,              0.9418,             0.47717,              0.0421,             0.06759,           0.0052307,           0.0075844,           0.0075844,           0.0075844
                 124,            0.039719,             0.06588,            0.005299,             0.91483,             0.91472,             0.92085,             0.41589,            0.045831,            0.068764,           0.0052211,           0.0075646,           0.0075646,           0.0075646
                 125,            0.041389,            0.066192,           0.0057711,             0.93316,             0.93013,             0.94732,             0.47776,            0.040823,            0.067681,            0.005072,           0.0075448,           0.0075448,           0.0075448
                 126,            0.041615,            0.067927,           0.0052958,             0.88646,               0.894,             0.89339,             0.36478,             0.05114,            0.069977,           0.0051824,            0.007525,            0.007525,            0.007525
                 127,            0.040996,            0.065258,           0.0055259,             0.92705,             0.91825,             0.93952,             0.44836,            0.043271,            0.067493,           0.0051615,           0.0075052,           0.0075052,           0.0075052
                 128,            0.039718,            0.063894,            0.004964,             0.94072,             0.91864,             0.94579,              0.4975,             0.04025,            0.066723,           0.0052736,           0.0074854,           0.0074854,           0.0074854
                 129,            0.041423,            0.064374,            0.005531,             0.92053,             0.91972,             0.93796,             0.43997,            0.045127,            0.067857,           0.0056105,           0.0074656,           0.0074656,           0.0074656
